Name,Email,Password,DOB,AP/HR,Mobile,Login _ID
vinayaka,vinayaka@hotmail.com,sammyishere,19/05/02,AP,9876543210,157934
kanan,kanan@symrise.com,whyami,18/04/98,HR,8765432109,376554
prahalad,prahalad@dragaco.com,sheiswell,09/09/99,HR,6543210987,873452
mary,mary@elsevier.com,channamereya,07/07/97,HR,4321098765,324561
Ganesh,Ganesh@qualcom.com,kalachashma,12/02/06,HR,3210987654,432156
bantu,bantu@hotmail.com,womaniya,28/09/00,AP,2109876543,890745
madhmani,madhmani@hotmail.com,mani,29-05-2005,AP,1410065407,221468
joseph,joseph@hotmail.com,great,12-09-2000,HR,1280719729,974096
muruga,muruga@hotmail.com,1234,21-03-2001,AP,1234509876,388650
shoaib,shoaib@google.com,890,03-03-98,HR,1234509876,852864
symrise,shyam@symrise.com,dubai,3-3-03,HR,2000009876,225938
nandi,nandi@hotmail.com,12345,12-3-03,AP,1230984765,946532
suresh,suresh@symrise.com,jithu,12-3-98,HR,1234987655,174710
ghanam,ghanam@htomail.com,abudabi,12-12-4,AP,1234123432,296574
Deepika,deepika@hotmail.com,god,21-03-2000,AP,1286577748,903808
iniya,iniya@gmail.com,12345,28072004,AP,123546789,075374
MADHU,madhu123,12345,29052005,HR,12345689,350015
